Gene,XGB_Rank,AE_Rank,Combined_Score
TYROBP,1.0,0.5514084,0.7757042
CST3,0.51883453,0.5716612,0.54524785
FCAR,0.0,1.0,0.5
FCGR3A,0.0,0.95791745,0.47895873
CD93,0.0,0.9213977,0.46069884
IL8,0.0,0.87186,0.43593
RXRA,0.0,0.8456601,0.42283005
PRKCD,0.0,0.84224343,0.42112172
TMEM205,0.0,0.8417414,0.4208707
HBEGF,0.0,0.8393809,0.41969046
KCNE1,0.0,0.8367553,0.41837764
NRGN,0.0,0.8279487,0.41397434
RGS18,0.0,0.8236321,0.41181606
RAB34,0.0,0.8212827,0.41064134
FCGR3B,0.0,0.8139582,0.4069791
OSCAR,0.0,0.812773,0.4063865
SLC22A18AS,0.0,0.8124915,0.40624574
CHN2,0.0,0.8090959,0.40454796
ABI3,0.0,0.8049767,0.40248835
UBE2L6,0.0,0.8000495,0.40002474
S100A8,0.01565067,0.78321046,0.39943057
APOBEC3B,0.0,0.79780287,0.39890143
SGK1,0.0,0.7953272,0.3976636
FCGR2A,0.0,0.7915269,0.39576346
IL1B,0.0,0.79062796,0.39531398
IGFBP7,0.0,0.7881375,0.39406875
RP11-10K16.1,0.0,0.7873692,0.3936846
CAPZB,0.0,0.7838426,0.3919213
RP3-337O18.9,0.0,0.7823284,0.3911642
SAT2,0.0,0.78133005,0.39066502
ASGR1,0.0,0.7811282,0.3905641
IFIT2,0.0,0.7793758,0.3896879
FCGR1A,0.0,0.77689284,0.38844642
PPIF,0.0,0.77288944,0.38644472
NFIC,0.0,0.7705787,0.38528934
DIO1,0.0,0.76941705,0.38470852
GSN,0.0,0.76719207,0.38359603
CTD-2267D19.2,0.0,0.7661532,0.3830766
HLA-DPA1,0.0,0.7652399,0.38261995
PLA2G7,0.0,0.7649682,0.3824841
CTD-2006K23.1,0.0,0.7628165,0.38140824
PTAFR,0.0,0.76213306,0.38106653
ZNF467,0.0,0.76045674,0.38022837
SMARCD3,0.0,0.7564533,0.37822664
PLD4,0.0,0.7546705,0.37733525
HLA-DMB,0.0,0.75108624,0.37554312
CD163,0.0,0.7487988,0.3743994
JUND,0.0,0.7441134,0.3720567
GNS,0.0,0.7400176,0.3700088
S100A12,0.0,0.73785245,0.36892623
TNFSF13B,0.0,0.73752415,0.36876208
FTL,0.13186531,0.6054222,0.36864376
RSPH9,0.0,0.7369714,0.3684857
BLVRA,0.0,0.727544,0.363772
PRKACA,0.0,0.7268166,0.3634083
TNFAIP2,0.0,0.7262606,0.3631303
HOMER2,0.0,0.7226629,0.36133146
HLA-DQA1,0.0,0.72152513,0.36076257
FOLR3,0.0,0.7187917,0.35939586
KCNAB1,0.0,0.7184016,0.3592008
TMEM91,0.0,0.7183275,0.35916376
LGALS2,0.0,0.71797127,0.35898563
SNCA,0.0,0.71486056,0.35743028
CXCL2,0.0,0.71474445,0.35737222
HP,0.0,0.71227247,0.35613623
C20orf27,0.0,0.7121899,0.35609496
MVB12A,0.0,0.7115516,0.3557758
FGL2,0.0,0.7086331,0.35431656
RP11-304M2.5,0.0,0.70810694,0.35405347
INTS2,0.0,0.70788914,0.35394457
SLC4A8,0.0,0.70687294,0.35343647
GSTZ1,0.0,0.70631903,0.35315952
RETN,0.0,0.705984,0.352992
G0S2,0.0,0.70595586,0.35297793
SRA1,0.0,0.70532256,0.35266128
FRAT1,0.0,0.7048261,0.35241306
VPS25,0.0,0.70461,0.352305
CLEC1B,0.0,0.703426,0.351713
GFI1B,0.0,0.6994914,0.3497457
C1QA,0.0,0.6990725,0.34953624
MLTK,0.0,0.6989293,0.34946465
CCL3,0.0,0.698033,0.3490165
AP003733.1,0.0,0.6978275,0.34891376
AC147651.3,0.0,0.69726753,0.34863377
S100A9,0.012697559,0.68411505,0.3484063
NAPRT1,0.0,0.69659024,0.34829512
FAM209A,0.0,0.6954621,0.34773105
GTPBP2,0.0,0.69326514,0.34663257
MOGAT1,0.0,0.69260085,0.34630042
C5AR1,0.0,0.69251025,0.34625512
MBOAT7,0.0,0.6919293,0.34596464
DYNLT1,0.0,0.69156706,0.34578353
CCL2,0.0,0.69144464,0.34572232
NCKAP1L,0.0,0.69127214,0.34563607
AIM2,0.0,0.69107944,0.34553972
GPR35,0.0,0.6900378,0.3450189
HLA-DMA,0.0,0.6883512,0.3441756
TPM1,0.0,0.68747866,0.34373933
PICALM,0.0,0.6868072,0.3434036
IFI35,0.0,0.68648803,0.34324402
FAM127A,0.0,0.68641245,0.34320623
LINC01122,0.0,0.68624735,0.34312367
CTD-2283N19.1,0.0,0.6851681,0.34258404
ARHGAP31-AS1,0.0,0.6847792,0.3423896
HLA-DQB1,0.0,0.68367255,0.34183627
FPR1,0.0,0.68191296,0.34095648
SMPDL3A,0.0,0.6817477,0.34087384
BTK,0.0,0.68055594,0.34027797
MARCKSL1,0.0,0.67905444,0.33952722
ATP8B3,0.0,0.6790283,0.33951414
DPY19L4,0.0,0.67850375,0.33925188
PDIA3,0.0,0.6780293,0.33901465
HLA-DPB1,0.0,0.6777265,0.33886325
VIPR1,0.0,0.6775052,0.3387526
LINC00936,0.0,0.67732435,0.33866218
MYADM,0.0,0.67687106,0.33843553
STK11IP,0.0,0.67597955,0.33798978
REPS2,0.0,0.67555827,0.33777913
RP11-102N12.3,0.0,0.6747976,0.3373988
LYPD2,0.0,0.6733939,0.33669695
SHPK-1,0.0,0.673235,0.3366175
CTNNBIP1,0.0,0.67283237,0.33641618
GMPR,0.0,0.6698658,0.3349329
FZD2,0.0,0.66936237,0.33468118
TRAPPC3L,0.0,0.66921943,0.33460972
RAB7A,0.0,0.6678395,0.33391976
FOSL2,0.0,0.66775465,0.33387733
CYP27A1,0.0,0.66682816,0.33341408
SEPT4,0.0,0.6663847,0.33319235
PARVB,0.0,0.666319,0.3331595
MYO9B,0.0,0.6660639,0.33303195
GRB2,0.0,0.6656407,0.33282036
EGFL7,0.0,0.6620845,0.33104226
PTGES2,0.0,0.6619556,0.3309778
RELT,0.0,0.6618482,0.3309241
TCEA2,0.0,0.6611774,0.3305887
ZSWIM6,0.0,0.6611362,0.3305681
FAM96B,0.0,0.6600011,0.33000055
PSMC4,0.0,0.659179,0.3295895
UBE2E2-AS1,0.0,0.6590415,0.32952076
CCDC153,0.0,0.65893835,0.32946917
COLGALT1,0.0,0.6565547,0.32827735
CCP110,0.0,0.6560682,0.3280341
AC137932.6,0.0,0.655807,0.3279035
FCGRT,0.0,0.65571,0.327855
EIF2AK4,0.0,0.6552684,0.3276342
CTD-2184C24.2,0.0,0.6549809,0.32749045
GBGT1,0.0,0.6544792,0.3272396
KIF3C,0.0,0.6540361,0.32701805
STX11,0.0,0.6539293,0.32696465
EIF5,0.0,0.6534003,0.32670015
FAM32A,0.0,0.6529946,0.3264973
FTH1,0.017789418,0.6341389,0.32596415
RP11-1055B8.7,0.0,0.6516598,0.3258299
UBE2K,0.0,0.65112776,0.32556388
C1QB,0.0,0.65093374,0.32546687
UQCRC1,0.0,0.65083987,0.32541993
LAMP3,0.0,0.6502966,0.3251483
HDAC9,0.0,0.6501634,0.3250817
HDAC2,0.0,0.6498552,0.3249276
JAZF1,0.0,0.6491683,0.32458416
MPP1,0.0,0.64902943,0.32451472
H2AFY,0.0,0.6489686,0.3244843
NCOR2,0.0,0.6488406,0.3244203
SNX17,0.0,0.648172,0.324086
RP11-122G18.5,0.0,0.6479995,0.32399976
NDUFA2,0.0,0.64748347,0.32374173
CES4A,0.0,0.6469413,0.32347065
DRAM2,0.0,0.6466933,0.32334664
TDRP,0.0,0.6457943,0.32289714
GPX1,0.0,0.64569,0.322845
STK32C,0.0,0.64557064,0.32278532
TXNDC17,0.0,0.64416313,0.32208157
SMARCC2,0.0,0.6435417,0.32177085
TMTC2,0.0,0.64353955,0.32176977
ALDH2,0.0,0.6433414,0.3216707
BCL2A1,0.0,0.64273876,0.32136938
DNAJC15,0.0,0.6424797,0.32123986
ADAP2,0.0,0.64236844,0.32118422
SCP2,0.0,0.64231926,0.32115963
ARF6,0.0,0.6422638,0.3211319
PSMA7,0.0,0.64181995,0.32090998
ETHE1,0.0,0.64124215,0.32062107
CXCL10,0.0,0.6411538,0.3205769
ZNF106,0.0,0.64105916,0.32052958
NDUFA12,0.0,0.64100075,0.32050037
RP1-111C20.4,0.0,0.6407382,0.3203691
DICER1,0.0,0.64052033,0.32026017
MTIF3,0.0,0.63976794,0.31988397
METTL8,0.0,0.6396173,0.31980866
MIS18BP1,0.0,0.6392998,0.3196499
HAVCR2,0.0,0.639235,0.3196175
SPRTN,0.0,0.63805276,0.31902638
CD79B,0.0,0.6376799,0.31883994
