,Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
0,KEGG_2021_Human,Ferroptosis,3/41,1.782245108429782e-05,0.0006416082390347215,0,0,71.54425837320574,782.3401568918739,FTH1;SAT1;FTL
1,KEGG_2021_Human,Necroptosis,3/159,0.000997218835369675,0.0179499390366541,0,0,17.3243006993007,119.72027846776956,PYCARD;FTH1;FTL
2,KEGG_2021_Human,Mineral absorption,2/60,0.0025397444622594,0.0304769335471132,0,0,29.86056971514243,178.43756184160333,FTH1;FTL
3,KEGG_2021_Human,Antigen processing and presentation,2/78,0.0042501160167748,0.0366669591081851,0,0,22.767734553775743,124.33024972338757,IFI30;CTSS
4,KEGG_2021_Human,Salivary secretion,2/93,0.005985699144896,0.0366669591081851,0,0,19.00047778308648,97.25170595790462,CST3;LYZ
5,KEGG_2021_Human,IL-17 signaling pathway,2/94,0.0061111598513641,0.0366669591081851,0,0,18.793005671077506,95.79995291250644,S100A9;S100A8
6,KEGG_2021_Human,C-type lectin receptor signaling pathway,2/104,0.0074314203155166,0.0382187330512282,0,0,16.942028985507246,83.05047461025787,PYCARD;FCER1G
7,KEGG_2021_Human,Lysosome,2/128,0.0110732557767541,0.0462961256655532,0,0,13.698412698412698,61.68699983114149,NPC2;CTSS
8,KEGG_2021_Human,Natural killer cell mediated cytotoxicity,2/131,0.0115740314163883,0.0462961256655532,0,0,13.377822716548703,59.651595927977866,FCER1G;TYROBP
9,KEGG_2021_Human,Tuberculosis,2/180,0.0210972169063332,0.0759499808627997,0,0,9.671226184660478,37.31753017857985,FCER1G;CTSS
10,KEGG_2021_Human,Asthma,1/31,0.0380599505912853,0.1245598382987519,0,0,27.70138888888889,90.5445579257637,FCER1G
11,KEGG_2021_Human,Arginine and proline metabolism,1/50,0.0606955298241754,0.1607028600621992,0,0,16.943877551020407,47.47480020477031,SAT1
12,KEGG_2021_Human,Cholesterol metabolism,1/50,0.0606955298241754,0.1607028600621992,0,0,16.943877551020407,47.47480020477031,NPC2
13,KEGG_2021_Human,Legionellosis,1/57,0.0689053446517472,0.1607028600621992,0,0,14.820684523809524,39.64565023244249,PYCARD
14,KEGG_2021_Human,Glutathione metabolism,1/57,0.0689053446517472,0.1607028600621992,0,0,14.820684523809524,39.64565023244249,GPX1
15,KEGG_2021_Human,Arachidonic acid metabolism,1/61,0.0735656929646674,0.1607028600621992,0,0,13.82986111111111,36.090080417128966,GPX1
16,KEGG_2021_Human,Cytosolic DNA-sensing pathway,1/63,0.0758874616960385,0.1607028600621992,0,0,13.38239247311828,34.506549888818924,PYCARD
17,KEGG_2021_Human,Fc epsilon RI signaling pathway,1/68,0.0816674711385058,0.1633349422770116,0,0,12.380597014925373,31.014627471998192,FCER1G
18,KEGG_2021_Human,Thyroid hormone synthesis,1/75,0.0897012092618635,0.1635180548980011,0,0,11.20551801801802,27.01954095985768,GPX1
19,KEGG_2021_Human,Pertussis,1/76,0.0908433638322228,0.1635180548980011,0,0,11.055555555555555,26.518060438580463,PYCARD
20,KEGG_2021_Human,Sphingolipid signaling pathway,1/119,0.1386752998975814,0.2305620978919399,0,0,7.0116525423728815,13.852361349501969,FCER1G
21,KEGG_2021_Human,Platelet activation,1/124,0.1440777329710281,0.2305620978919399,0,0,6.724932249322493,13.02889929294851,FCER1G
22,KEGG_2021_Human,Osteoclast differentiation,1/127,0.1473035625420727,0.2305620978919399,0,0,6.563822751322752,12.571425654229188,TYROBP
23,KEGG_2021_Human,Yersinia infection,1/137,0.1579722495308103,0.231647135936055,0,0,6.078125,11.216182250545016,PYCARD
24,KEGG_2021_Human,Apoptosis,1/142,0.1632584222447486,0.231647135936055,0,0,5.861111111111111,10.622800398497253,CTSS
25,KEGG_2021_Human,Phospholipase D signaling pathway,1/148,0.1695597817875471,0.231647135936055,0,0,5.620181405895692,9.973291336989591,FCER1G
26,KEGG_2021_Human,Phagosome,1/152,0.1737353519520413,0.231647135936055,0,0,5.470198675496689,9.574062631860778,CTSS
27,KEGG_2021_Human,Influenza A,1/172,0.1943126687057049,0.249830574050192,0,0,4.825536062378168,7.905611662086706,PYCARD
28,KEGG_2021_Human,NOD-like receptor signaling pathway,1/181,0.2034111170125662,0.2525103521535305,0,0,4.582175925925926,7.29723494446393,PYCARD
29,KEGG_2021_Human,Pathogenic Escherichia coli infection,1/197,0.2193431354092711,0.2632117624911254,0,0,4.204719387755102,6.379055245294434,PYCARD
30,KEGG_2021_Human,Lipid and atherosclerosis,1/215,0.2369009994904709,0.2751108381179662,0,0,3.8475467289719623,5.540901865454593,PYCARD
31,KEGG_2021_Human,Shigellosis,1/246,0.2662545225134303,0.2934948501604065,0,0,3.3554421768707483,4.440265276731223,PYCARD
32,KEGG_2021_Human,Salmonella infection,1/249,0.2690369459803727,0.2934948501604065,0,0,3.31434811827957,4.351429397084273,PYCARD
33,KEGG_2021_Human,Huntington disease,1/306,0.3200178996557216,0.3388424819884111,0,0,2.6871584699453552,3.061690179183596,GPX1
34,KEGG_2021_Human,Amyotrophic lateral sclerosis,1/364,0.3683809474250587,0.3789061173514889,0,0,2.251147842056933,2.2480810876513058,GPX1
35,KEGG_2021_Human,Pathways of neurodegeneration,1/475,0.4518895760040144,0.4518895760040144,0,0,1.7142229254571026,1.3616371483772616,GPX1
36,GO_Biological_Process_2023,Positive Regulation Of Response To External Stimulus (GO:0032103),6/155,3.0826457769532706e-08,1.3193723925359998e-05,0,0,42.01907453196751,726.7153768630858,PYCARD;LGALS2;LGALS1;AIF1;S100A9;S100A8
37,GO_Biological_Process_2023,Positive Regulation Of Inflammatory Response (GO:0050729),5/104,1.68757007683043e-07,3.61139996441712e-05,0,0,50.19191919191919,782.7332416142872,PYCARD;LGALS2;LGALS1;S100A9;S100A8
38,GO_Biological_Process_2023,Positive Regulation Of Defense Response (GO:0031349),5/124,4.0632226170795786e-07,5.796864267033532e-05,0,0,41.71428571428572,613.8724027558424,PYCARD;LGALS2;LGALS1;S100A9;S100A8
39,GO_Biological_Process_2023,Positive Regulation Of Apoptotic Signaling Pathway (GO:2001235),4/62,1.0083466809909983e-06,9.92612273271858e-05,0,0,65.4088669950739,903.1132114312971,PYCARD;S100A9;CTSS;S100A8
40,GO_Biological_Process_2023,Myeloid Cell Activation Involved In Immune Response (GO:0002275),3/17,1.15959377718675e-06,9.92612273271858e-05,0,0,194.42532467532467,2657.296616237484,PYCARD;FCER1G;TYROBP
41,GO_Biological_Process_2023,Neutrophil Chemotaxis (GO:0030593),4/70,1.6462555403471631e-06,0.00011743289521143095,0,0,57.457431457431454,765.1610294727685,LGALS3;FCER1G;S100A9;S100A8
